Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Combined
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,Medium,Tier 1,Supermarket Type1,8.225807737,Food
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,Medium,Tier 3,Supermarket Type2,6.096776362,Drinks
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,Medium,Tier 1,Supermarket Type1,7.648868475,Food
FDX07,19.2,Regular,0.02291051,Fruits and Vegetables,182.095,OUT010,Small,Tier 3,Grocery Store,6.597663985,Food
NCD19,8.93,Non-Edible,0.016164306,Household,53.8614,OUT013,High,Tier 3,Supermarket Type1,6.90345123,Non-Consumable
FDP36,10.395,Regular,0.091392321,Baking Goods,51.4008,OUT018,Medium,Tier 3,Supermarket Type2,6.323657641,Food
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,High,Tier 3,Supermarket Type1,5.842247344,Food
FDP10,19,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,Medium,Tier 3,Supermarket Type3,8.299972963,Food
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,Small,Tier 2,Supermarket Type1,6.982490326,Food
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,Small,Tier 2,Supermarket Type1,8.457769036,Food
FDY07,11.8,Low Fat,0.121879573,Fruits and Vegetables,45.5402,OUT049,Medium,Tier 1,Supermarket Type1,7.324507514,Food
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,Small,Tier 1,Supermarket Type1,7.690813088,Food
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,Medium,Tier 1,Supermarket Type1,7.371655696,Food
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,Small,Tier 1,Supermarket Type1,7.671457657,Food
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,High,Tier 3,Supermarket Type1,7.590056858,Food
FDP49,9,Regular,0.069088961,Breakfast,56.3614,OUT046,Small,Tier 1,Supermarket Type1,7.344925234,Food
NCB42,11.8,Non-Edible,0.008596051,Health and Hygiene,115.3492,OUT018,Medium,Tier 3,Supermarket Type2,7.39196305,Non-Consumable
FDP49,9,Regular,0.069196376,Breakfast,54.3614,OUT049,Medium,Tier 1,Supermarket Type1,6.578415029,Food
DRI11,8.26,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,Medium,Tier 3,Supermarket Type3,7.74269191,Drinks
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,Small,Tier 2,Supermarket Type1,7.919146132,Food
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,High,Tier 3,Supermarket Type1,8.236443302,Food
FDW12,8.315,Regular,0.035399923,Baking Goods,144.5444,OUT027,Medium,Tier 3,Supermarket Type3,8.310179649,Food
NCB30,14.6,Non-Edible,0.025698134,Household,196.5084,OUT035,Small,Tier 2,Supermarket Type1,7.37039889,Non-Consumable
FDC37,15.5,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,Small,Tier 1,Grocery Store,5.372439196,Food
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,Small,Tier 1,Supermarket Type1,8.313613268,Food
NCD06,13,Non-Edible,0.099887103,Household,45.906,OUT017,Small,Tier 2,Supermarket Type1,6.733292362,Non-Consumable
FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,Small,Tier 2,Supermarket Type1,6.971931234,Food
DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,High,Tier 3,Supermarket Type1,5.736350337,Drinks
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,Small,Tier 3,Grocery Store,5.189809682,Food
FDC14,14.5,Regular,0.072221801,Canned,43.6454,OUT019,Small,Tier 1,Grocery Store,4.84289649,Food
FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,Small,Tier 3,Grocery Store,5.104652517,Food
NCS17,18.6,Non-Edible,0.080829372,Health and Hygiene,96.4436,OUT018,Medium,Tier 3,Supermarket Type2,7.916721596,Non-Consumable
FDP33,18.7,Low Fat,0.102678314,Snack Foods,256.6672,OUT018,Medium,Tier 3,Supermarket Type2,8.02910914,Food
FDO23,17.85,Low Fat,0.164846377,Breads,93.1436,OUT045,Small,Tier 2,Supermarket Type1,7.685015089,Food
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,Small,Tier 1,Supermarket Type1,7.643140539,Drinks
NCX29,10,Non-Edible,0.089291137,Health and Hygiene,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,8.240666057,Non-Consumable
FDV20,20.2,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,Medium,Tier 3,Supermarket Type3,7.936907301,Food
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,Medium,Tier 3,Supermarket Type2,7.384551039,Drinks
FDX10,6.385,Regular,0.123111453,Snack Foods,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,5.963994168,Food
FDB34,15.25,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,Medium,Tier 3,Supermarket Type3,7.687765701,Food
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,Small,Tier 1,Supermarket Type1,8.142216938,Food
FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,High,Tier 3,Supermarket Type1,7.673936355,Food
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,Medium,Tier 1,Supermarket Type1,7.835332795,Food
FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,Medium,Tier 3,Supermarket Type2,8.820185876,Food
FDL50,12.15,Regular,0.042277867,Canned,126.5046,OUT013,High,Tier 3,Supermarket Type1,5.925628651,Food
FDM39,6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,Small,Tier 3,Grocery Store,5.88388045,Food
NCP05,19.6,Non-Edible,0.028135431,Health and Hygiene,153.3024,OUT045,Small,Tier 2,Supermarket Type1,7.795580032,Non-Consumable
FDV49,10,Low Fat,0.025879577,Canned,265.2226,OUT045,Small,Tier 2,Supermarket Type1,8.668384732,Food
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,Small,Tier 1,Supermarket Type1,7.854631858,Food
FDS02,10.195,Regular,0.255394896,Dairy,196.8794,OUT019,Small,Tier 1,Grocery Store,6.660981725,Food
NCL17,7.39,Non-Edible,0.067779712,Health and Hygiene,143.8812,OUT046,Small,Tier 1,Supermarket Type1,8.050571485,Non-Consumable
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,High,Tier 3,Supermarket Type1,6.747460228,Food
FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,High,Tier 3,Supermarket Type1,6.699431865,Food
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,Small,Tier 2,Supermarket Type1,8.046315708,Food
NCP18,12.15,Non-Edible,0.028760013,Household,151.4708,OUT017,Small,Tier 2,Supermarket Type1,8.479712608,Non-Consumable
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,Medium,Tier 3,Supermarket Type2,8.741858784,Food
